index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
2789,Donnie Darko,16-10-2002,"Fantasy, Drama, Mystery", English,7510154,4500000,Australia,78
2790,mother!,12-10-2017,"Drama, Horror, Mystery", English,44516999,30000000,Australia,70
2791,Planes: Fire & Rescue,18-09-2014,"Animation, Comedy, Adventure, Family", English,151165787,50000000,Australia,61
2792,PelÃ©,23-02-2021,Documentary, Portuguese,580810039.6,98800000,United Kingdom,75
2793,The Transporter Refueled,03-09-2015,"Action, Thriller, Crime", English,69698495,22000000,Australia,55
2794,Sniper: Ultimate Kill,03-10-2017,Action, English,380935822.8,80000000,United States,65
2795,Dragon Ball: Curse of the Blood Rubies,20-12-1986,"Action, Animation, Adventure, Comedy, Fantasy, Science Fiction", Japanese,233325357.6,91380000,Japan,68
2796,Far from the Tree,24-11-2021,"Animation, Family", English,607464200.4,149860000,United States,81
2797,Demolition Man,02-12-1993,"Crime, Action, Science Fiction", English,58055768,57000000,Australia,67
2798,Unfaithful,11-07-2002,"Thriller, Drama", English,119114494,50000000,Australia,66
2799,Space Pirate Captain Harlock,19-03-2014,"Animation, Science Fiction", Japanese,310985,30000000,Australia,66
2800,Dark Blood,07-10-2021,"Crime, Drama", English,537098095.8,102800000,United States,55
2801,Sex and LucÃ­a,24-08-2001,"Drama, Romance"," Spanish, Castilian",7640680,36600004,Spain,67
2802,The Ark,30-03-2015,"TV Movie, Drama", English,563428871.8,128200000,United Kingdom,63
2803,The Thing,13-10-2011,"Horror, Science Fiction, Mystery, Thriller", English,27573078,38000000,Australia,62
2804,Jason Bourne,28-07-2016,"Action, Thriller, Mystery", English,416168316,120000000,Australia,63
2805,The Hateful Eight,08-01-2016,"Drama, Mystery, Western", English,151813358,62000000,Australia,77
2806,Down,01-02-2019,"Horror, Drama, Thriller", English,257720413.2,1,United States,69
2807,Snatch,09-11-2000,"Crime, Comedy", English,83593107,10000000,Australia,78
2808,Cristiano de la Secreta,01-01-2009,Comedy," Spanish, Castilian",400066522,82400000,Dominican Republic,72
2809,The Shape of Water,15-12-2017,"Drama, Fantasy, Romance", English,195790794,19500000,Australia,72
2810,Lockout,12-07-2012,"Action, Thriller, Science Fiction", English,33943049,20000000,Australia,59
2811,A Nightmare on Elm Street,20-05-2010,"Horror, Mystery, Thriller", English,117729618,35000000,Australia,55
2812,A Nightmare on Elm Street,20-05-2010,"Horror, Mystery, Thriller", English,25542906,1800000,Australia,55
2813,Ace Ventura: Pet Detective,28-04-1994,"Comedy, Adventure", English,107217396,12000000,Australia,65
2814,Enemy at the Gates,26-07-2001,"Drama, War, History", English,96971293,85000000,Australia,74
2815,Tooth Fairy,14-01-2010,"Comedy, Family, Fantasy", English,112610386,48000000,Australia,55
2816,Friday the 13th: The Final Chapter,13-04-1984,Horror, English,32980880,2600000,United States,61
2817,The League of Extraordinary Gentlemen,02-10-2003,"Fantasy, Action, Thriller, Science Fiction", English,179265204,78000000,Australia,60
2818,The Hunt,09-04-2020,"Action, Thriller, Horror", English,12400979,18200000,Australia,67
2819,Suki,24-02-2023,Drama, Tagalog,38139010,15541000,Philippines,30
2820,Dark Waters,05-03-2020,"Drama, Thriller", English,13601384,835001.4,Australia,75
2821,Clown,17-06-2016,Horror, English,4381603,6100000,United States,57
2822,Time Trap,19-05-2017,"Science Fiction, Adventure", English,451435551,178400000,United States,62
2823,Deuce Bigalow: European Gigolo,22-09-2005,Comedy, English,45273464,22000000,Australia,52
2824,House of the Witch,07-10-2017,"Horror, TV Movie", English,830215344.6,102600000,United States,47
2825,Bombshell,01-01-2020,Drama, English,61404394,32000000,Australia,68
2826,Que Viva Mexico!,01-11-1979,"Documentary, History", Russian,292613589.6,146000000,United States,71
2827,Jackass Forever,03-02-2022,"Comedy, Documentary", English,80340218,10000000,Australia,68
2828,Us X Her,25-11-2022,"Drama, Romance, Thriller", Tagalog,559636861.8,93940000,Philippines,58
2829,Beau Is Afraid,20-04-2023,"Comedy, Drama, Horror, Adventure", English,144471992,35000000,Australia,0
2830,We Were Soldiers,25-04-2002,"Action, History, War", English,114658262,70000000,Australia,71
2831,Furies,30-12-2022,"Action, Drama", Vietnamese,442247715.4,60600000,Vietnam,62
2832,The King's Daughter,21-01-2022,"Fantasy, Adventure, Family", English,2182492,40500000,United States,72
2833,Yu Pui Tsuen III,10-08-1996,Drama, Chinese,997517367.8,167400000,Hong Kong,49
2834,Palmer,29-01-2021,Drama, English,0,6713933,Australia,80
2835,Deep Blue Sea 3,28-07-2020,"Action, Horror, Science Fiction", English,90944180.6,5000000,United States,58
2836,The Silence,10-04-2019,"Horror, Drama, Thriller, Fantasy", English,2325977,6320000,United States,60
2837,50 First Dates,25-03-2004,"Comedy, Romance", English,196320329,75000000,Australia,68
2838,Trading Places,26-01-1984,Comedy, English,90404800,15000000,Australia,72
2839,Endless Love,17-07-1981,"Romance, Drama", English,34718173,20000000,United States,57
2840,A Dog's Way Home,05-02-2019,"Drama, Adventure, Family", English,17643857,18000000,Australia,73
2841,Rings,31-05-2017,Horror, English,82917283,25000000,Australia,50
2842,Fear Street: 1666,16-07-2021,"Mystery, Horror", English,337607295.6,113000000,Australia,72
2843,Friend's Mothers,05-07-2018,Romance, Korean,175269998.8,181600000,South Korea,0
2844,Barbie: The Princess & The Popstar,30-09-2012,"Family, Animation", English,306818621.4,139000000,United States,72
2845,A Nightmare on Elm Street Part 2: Freddy's Revenge,01-11-1985,Horror, English,30000000,3000000,United States,58
2846,Hummingbird,24-10-2013,"Action, Thriller", English,8352885,20000000,Australia,62
2847,Logan Lucky,17-08-2017,"Comedy, Crime, Action, Drama", English,49046121,29000000,Australia,67
2848,Hot Girls Wanted,29-05-2015,Documentary, English,345336673.4,81000000,United States,60
2849,South Park: Post COVID: The Return of COVID,16-12-2021,"Animation, Comedy, TV Movie", English,688934822,140000000,United States,74
2850,Doomsday,01-10-2008,"Action, Thriller, Science Fiction", English,21621188,33000000,Australia,60
2851,The Outlaws,03-10-2017,"Action, Crime", Korean,52946454,5883687,South Korea,78
2852,Frankenweenie,25-10-2012,"Animation, Comedy, Family", English,81150788,39000000,Australia,69
2853,2 Guns,24-10-2013,"Action, Comedy, Crime", English,132493015,61000000,Australia,65
2854,The Raffle,15-11-1991,Drama, Italian,530413654.6,71200000,Italy,70
2855,Young & Beautiful,30-04-2014,Drama, French,9757417,4645437,Australia,64
2856,Cell 211,26-07-2010,"Action, Thriller, Drama"," Spanish, Castilian",19300483,5700000,Australia,75
2857,"I, Tonya",25-01-2018,Drama, English,53797409,11000000,Australia,75
2858,The Wailer,20-06-2006,Horror," Spanish, Castilian",170176556.2,250,United States,69
2859,Scarface,09-04-1932,"Action, Crime, Drama, Thriller", English,44942821,25000000,United States,75
2860,Horrible Bosses 2,11-12-2014,Comedy, English,105945357,40000000,Australia,62
2861,The Secret World of Arrietty,19-12-2010,"Fantasy, Animation, Family", Japanese,149480483,23000000,Australia,76
2862,A Cinderella Story,31-03-2010,"Comedy, Family, Romance", English,70112484,19000000,Australia,65
2863,Bloodsport,29-04-1988,"Action, Drama", English,11806119,1500000,Australia,70
2864,American Beauty,26-01-2000,Drama, English,356258047,15000000,Australia,80
2865,Reservoir Dogs,30-07-1993,"Crime, Thriller", English,2990680,1200000,Australia,81
2866,The Invisible Man,27-02-2020,"Thriller, Science Fiction, Horror", English,139011965,7000000,Australia,71
2867,Accident Man: Hitman's Holiday,14-10-2022,"Action, Comedy, Crime", English,364815710.6,133500000,United States,69
2868,Buddha 2: The Endless Journey,08-02-2014,"Animation, Drama, History", Japanese,239293565,193400000,Japan,76
2869,Paddington 2,21-12-2017,"Adventure, Comedy, Family", English,227300000,40000000,Australia,75
2870,A Knight's Tale,23-08-2001,"Adventure, Drama, Romance, Action", English,117487473,65000000,Australia,69
2871,Dora and the Lost City of Gold,19-09-2019,"Adventure, Comedy, Family, Fantasy", English,120592276,49000000,Australia,67
2872,High School Musical,10-06-2006,"Comedy, Drama, Family, Music, Romance, TV Movie", English,5940,4200000,Australia,66
2873,Ghost Ship,05-12-2002,"Horror, Mystery, Thriller", English,68349884,20000000,Australia,59
2874,Za gyakutai: Nyotai ikedori-hen,18-07-1987,, Japanese,542233172.2,38600000,Japan,65
2875,EverAfter,09-10-1998,"Drama, Romance, Comedy", English,65705772,26000000,Australia,74
2876,A Classic Horror Story,14-07-2021,"Horror, Mystery", Italian,365321906,190740000,Italy,59
2877,Jack Ryan: Shadow Recruit,16-01-2014,"Action, Drama, Thriller", English,131377412,60000000,Australia,61
2878,A Time to Kill,15-08-1996,"Crime, Drama, Thriller", English,152266007,40000000,Australia,74
2879,Into the Storm,03-09-2014,"Action, Thriller", English,150429371,50000000,Australia,60
2880,Stonehearst Asylum,24-10-2014,"Thriller, Mystery, Horror", English,2478806,20770500.6,United States,68
2881,Carrie,13-11-2013,"Drama, Horror", English,82409520,30000000,Australia,60
2882,Carrie,13-11-2013,"Drama, Horror", English,25886736,1800000,Australia,60
2883,Rookie of the Year,30-12-1993,"Family, Comedy", English,56500758,31000000,Australia,61
2884,Dominion: Prequel to The Exorcist,20-05-2005,Horror, English,251495,30000000,United States,53
2885,2 Hearts,16-10-2020,"Romance, Drama", English,367355223.4,127400000,United States,75
2886,First Love,17-06-2022,"Romance, Drama", English,437846475.2,162100000,United States,59
2887,Bird Box,21-12-2018,"Thriller, Drama, Science Fiction", English,0,19800000,Australia,69
2888,Horrible Bosses,25-08-2011,"Comedy, Crime", English,212417601,35000000,Australia,66
2889,Young Mom,28-02-2017,Romance, Korean,175269998.8,181600000,South Korea,0
2890,The Forgiven,28-07-2022,Drama, English,503089616.8,88000000,Australia,59
2891,The Mechanic,23-03-2011,"Action, Thriller, Crime", English,76347393,42500000,Australia,65
2892,The Adventures of Tintin,26-12-2011,"Adventure, Animation, Mystery", English,373993951,130000000,Australia,69
2893,DodgeBall: A True Underdog Story,09-09-2004,Comedy, English,167722310,20000000,Australia,63
2894,Greta,28-02-2019,"Mystery, Thriller, Horror", English,755799553,100600000,Australia,66
2895,Us,28-03-2019,"Horror, Thriller, Mystery", English,256022707,20000000,Australia,70
2896,Leatherface,20-10-2017,"Horror, Thriller, Mystery", English,1476843,2200000,United States,55
2897,Young Mother: The Original,23-06-2016,"Drama, Romance", Korean,360848744,38998000,South Korea,56
2898,Barbie in the Pink Shoes,11-09-2017,"Animation, Family", English,494358731.6,98140000,Australia,68
2899,Sentinelle,05-03-2021,"Thriller, Action, Drama", French,20234454.2,6500000,France,59
2900,The Little Prince,29-07-2015,"Adventure, Animation, Fantasy, Family", English,102028919,77500000,France,76
2901,Into the Wild,11-09-2007,"Adventure, Drama", English,56822960,20000000,Australia,78
2902,Tremors,19-01-1990,"Horror, Comedy, Action, Science Fiction", English,16667391,10000000,United States,69
2903,Stuart Little 2,19-09-2002,"Family, Adventure, Animation, Comedy", English,166000000,120000000,Australia,57
2904,Vertigo,23-01-1959,"Mystery, Romance, Thriller", English,7797728,2479000,Australia,82
2905,The King's Avatar: For the Glory,16-08-2019,"Animation, Action, Adventure, Fantasy", Chinese,320146113.6,167940000,China,67
2906,Chinese Zodiac,12-06-2014,"Action, Adventure", Cantonese,171339013,48000000,Australia,62
2907,Cobra,01-10-1986,"Action, Crime, Thriller", English,49042224,25000000,Australia,60
2908,The Return of the Living Dead,24-10-1985,"Horror, Comedy", English,14238634,4000000,Australia,71
2909,Sex Is Zero,13-12-2002,"Comedy, Drama", Korean,580471102.4,63600000,South Korea,61
2910,Uncut Gems,31-01-2020,"Drama, Thriller, Crime", English,50020902,19000000,Australia,71
2911,Herbie Fully Loaded,23-06-2005,"Comedy, Family, Adventure, Fantasy, Romance", English,144146816,50000000,Australia,57
2912,It Boy,06-03-2013,Comedy, French,271669045.6,110000000,France,63
2913,Rubius X,21-07-2022,Documentary," Spanish, Castilian",1075683451,139800000,Spain,85
2914,Everybody Hates Johan,01-09-2022,Comedy, Norwegian,234980052.8,135159000,Australia,59
2915,Pocahontas II: Journey to a New World,04-08-1998,"Family, Adventure, Animation, Romance", English,198788188.2,135200000,United States,55
2916,John Q,02-05-2002,"Drama, Thriller, Crime", English,102244770,36000000,Australia,71
2917,The Perks of Being a Wallflower,29-11-2012,Drama, English,33069303,13000000,Australia,78
2918,One Piece 3D: Straw Hat Chase,19-03-2011,"Animation, Adventure", Japanese,195073159.6,128000000,Japan,68
2919,Tomorrow Never Dies,16-01-1998,"Adventure, Action, Thriller", English,339504276,110000000,Australia,63
2920,Hellboy II: The Golden Army,29-07-2008,"Fantasy, Action", English,160388063,82500000,Australia,68
2921,American Pie: Revealed,02-01-2004,"Documentary, Comedy", English,742474776,147400000,United States,59
2922,All Ladies Do It,21-02-1992,"Comedy, Drama", Italian,197992680.8,114300000,Italy,46
2923,Back to the Future Part III,28-06-1990,"Adventure, Comedy, Science Fiction", English,244087259,40000000,Australia,75
2924,Naruto the Movie: Legend of the Stone of Gelel,06-08-2005,"Animation, Adventure, Fantasy", Japanese,10200000,56900000,Japan,66
2925,Neighbors,08-05-2014,Comedy, English,270944428,18000000,Australia,62
2926,Red Sparrow,09-04-2018,"Mystery, Thriller", English,145951861,69000000,Australia,65
2927,The Unborn,09-01-2009,"Horror, Thriller, Mystery", English,78208812,16000000,United States,52
2928,The Gods Must Be Crazy,09-08-1984,"Action, Comedy", English,60000000,5000000,Australia,73
2929,Lights Out,21-07-2016,"Horror, Thriller, Mystery", English,148806510,5000000,Australia,63
2930,Scary Stories to Tell in the Dark,26-09-2019,"Horror, Thriller", English,95592669,28000000,Australia,65
2931,Young Mother-in-Law,09-03-2018,Romance, Korean,1155101096,109800000,South Korea,90
2932,Return of the Jedi,02-06-1983,"Adventure, Action, Science Fiction", English,572700000,32350000,Australia,79
2933,Marvel Studios Assembled: The Making of Black Panther: Wakanda Forever,08-02-2023,Documentary, English,563588855,81500000,United States,68
2934,Homefront,12-11-2013,"Action, Thriller", English,51695362,22000000,Australia,69
2935,Arthur and the Invisibles,07-05-2007,"Adventure, Fantasy, Animation, Family", English,107944236,86000000,Australia,64
2936,Mission: Possible,17-02-2021,"Comedy, Action, Thriller", Korean,881835095.6,98200000,South Korea,76
2937,The Dictator,15-05-2012,Comedy, English,180148897,65000000,Australia,62
2938,The Unforgivable,24-11-2021,"Drama, Crime", English,848199123.8,96260000,United States,75
2939,"August 16, 1947",07-04-2023,Comedy, Tamil,175269998.8,264940000,India,0
2940,The Exorcist III,17-08-1990,"Horror, Mystery", English,39024251,9300000,United States,62
2941,Meet Cute,21-09-2022,"Comedy, Romance, Science Fiction", English,425347626.6,130000000,United States,58
2942,Lamborghini: The Man Behind the Legend,18-11-2022,"Drama, History", English,344328240.8,128300000,United States,59
2943,Starship Troopers,05-02-1998,"Adventure, Action, Thriller, Science Fiction", English,121100000,105000000,Australia,70
2944,The Rugrats Movie,20-11-1998,"Family, Animation, Comedy, Adventure", English,140894685,28000000,United States,62
2945,Frozen Fever,09-03-2015,"Animation, Family, Adventure, Comedy", English,416291033.2,90000000,Australia,68
2946,Poltergeist,21-05-2015,Horror, English,95691732,35000000,Australia,52
2947,Poltergeist,21-05-2015,Horror, English,121706019,10700000,Australia,52
2948,Case 39,05-11-2009,"Horror, Mystery, Thriller", English,28773827,27000000,Australia,63
2949,Intergalactic Meeting,22-09-2022,"Adventure, Science Fiction, Comedy", Portuguese,376598693.6,71800000,Brazil,55
2950,Inuyasha the Movie 4: Fire on the Mystic Island,23-12-2004,"Fantasy, Animation, Adventure", Japanese,744554222.6,129400000,Japan,76
2951,A Star Is Born,18-10-2018,"Music, Drama, Romance", English,433888866,36000000,Australia,75
2952,The Hallow,13-11-2015,"Fantasy, Horror", English,522453380.4,110800000,Ireland,57
2953,Soul Surfer,26-05-2011,"Family, Drama", English,47135489,18000000,Australia,70
2954,Dark Shadows,10-05-2012,"Comedy, Fantasy", English,245564215,150000000,Australia,60
2955,Red Riding Hood,24-03-2011,"Fantasy, Thriller, Horror", English,91678442,42000000,Australia,60
2956,Ki Main Jhoot Boleya,24-03-2023,"Romance, Comedy", English,178359863,213940000,India,0
2957,Spider-Man 2,30-06-2004,"Action, Adventure, Fantasy", English,794697557,200000000,Australia,72
2958,Casino,07-03-1996,"Crime, Drama", English,110400000,52000000,Australia,80
2959,The Sorcerer's Apprentice,09-09-2010,"Fantasy, Adventure, Action", English,217986320,160000000,Australia,61
2960,Rascal Does Not Dream of a Dreaming Girl,10-10-2019,"Animation, Comedy, Romance, Drama, Fantasy", Japanese,637885942.8,208000000,Australia,82
2961,Platoon,05-03-1987,"Drama, War, Action", English,137978395,6000000,Australia,77
2962,The Heist of the Century,16-01-2020,"Comedy, Thriller, Crime"," Spanish, Castilian",7627100,29211149.2,Argentina,78
2963,Powder,08-02-1996,"Drama, Fantasy, Science Fiction, Thriller", English,30862156,9500000,Australia,69
2964,The Spiderwick Chronicles,21-03-2008,"Family, Adventure, Fantasy", English,162839667,92500000,Australia,66
2965,Mavka: The Forest Song,06-04-2023,"Fantasy, Animation, Adventure, Family", Ukrainian,92963545.6,5000000,Australia,75
2966,The Descent: Part 2,27-04-2010,"Adventure, Horror, Thriller", English,7048886,6000200,United States,59
2967,The Animal,02-08-2001,Comedy, English,55762229,22000000,Australia,51
2968,Causeway,28-10-2022,Drama, English,509726081,75500000,United States,67
2969,Pushpa: The Rise - Part 1,17-12-2021,"Action, Drama, Thriller", Telugu,712822511,167200000,India,74
2970,Charlie's Angels,24-11-2000,"Action, Adventure, Comedy, Crime, Thriller", English,259736090,90000000,Australia,58
2971,Collide,05-08-2022,"Thriller, Drama, Crime", English,5466698,29200000,United States,54
2972,Cult of Chucky,03-10-2017,"Horror, Thriller", English,2200000,6500000,United States,58
2973,Primer,25-08-2005,"Science Fiction, Drama, Thriller", English,545436,7000,Australia,68
2974,NausicaÃ¤ of the Valley of the Wind,08-07-2004,"Adventure, Animation, Fantasy", Japanese,3301446,1000000,Australia,79
2975,The Theory of Everything,29-01-2015,"Drama, Romance", English,123327692,15000000,Australia,79
2976,Lord of War,02-02-2006,"Crime, Drama, Thriller", English,60437727,42000000,Australia,73
2977,Memories of Murder,02-05-2003,"Crime, Drama, Thriller", Korean,26000000,2800000,South Korea,81
2978,Creation,25-09-2009,"Drama, History", English,495175070,51400000,United Kingdom,64
2979,Dragons: Gift of the Night Fury,15-11-2011,"Animation, Comedy, Adventure, Family", English,531710348.6,194000000,United States,71
2980,What Men Want,08-02-2019,"Comedy, Romance", English,69911903,20000000,Australia,62
2981,Sex with Love,27-03-2003,"Comedy, Romance"," Spanish, Castilian",408505847.8,63800000,United States,66
2982,Midnight Sun,23-03-2018,"Romance, Drama", English,26952508,2800000,Australia,78
2983,Dragonheart: Vengeance,04-02-2020,"Fantasy, Action, Adventure", English,294763505.4,155400000,United States,69
2984,The Experiment,15-07-2010,"Thriller, Drama", English,211802400.4,21800000,United States,64
2985,Red Tails,20-01-2012,"Drama, Action, Adventure, History, War", English,50365498,58000000,United States,65
2986,The Girl Who Leapt Through Time,24-05-2008,"Fantasy, Animation, Drama, Science Fiction", Japanese,3800000,44461149.2,Australia,78
2987,Halo: Nightfall,05-02-2014,Science Fiction, English,494285798.8,107400000,United States,70
2988,10 Cloverfield Lane,10-03-2016,"Thriller, Science Fiction, Drama, Horror", English,108286422,15000000,Australia,70
2989,Baise-moi,28-06-2000,"Crime, Drama, Romance, Thriller", French,940944,3001100,France,49
2990,The Sensuous Nurse,19-12-1975,Comedy, Italian,591573175.2,70800000,Italy,55
2991,CHiPS,24-03-2017,"Action, Comedy, Crime", English,23190292,25000000,United States,61
2992,The Nun,03-11-2005,"Horror, Mystery"," Spanish, Castilian",363391647,22000000,Spain,55
2993,The Warrior's Way,26-01-2011,"Adventure, Fantasy, Action, Western, Thriller", English,8514325,42000000,Australia,66
2994,Security,04-08-2017,"Action, Thriller, Crime", English,163167892.4,15000000,United States,62
2995,Gone with the Wind,01-05-1940,"Drama, War, Romance", English,390525192,3900000,Australia,80
2996,Berserk: The Golden Age Arc III - The Advent,12-05-2014,"Action, Adventure, Drama, Fantasy, Animation", Japanese,640997166.4,124200000,Australia,77
2997,Pet Sematary,21-04-1989,"Horror, Drama", English,111809732,21000000,United States,66
2998,Pet Sematary,21-04-1989,"Horror, Drama", English,57469850,11500000,United States,66
2999,Patriots Day,12-12-2016,"Action, Crime, Drama, History, Thriller", English,52837989,40000000,Australia,70
3000,Warm Bodies,11-04-2013,"Horror, Comedy, Romance", English,114834312,30000000,Australia,64
3001,The Princess,11-08-2022,"Documentary, History", English,850930956.8,67140000,Australia,70
3002,The Amityville Horror,14-04-2005,Horror, English,109175673,18500000,Australia,61
3003,A.I. Artificial Intelligence,13-09-2001,"Drama, Science Fiction, Adventure", English,235926552,100000000,Australia,70
3004,Scars 2,01-02-2007,Drama," Spanish, Castilian",696323373.6,143000000,Mexico,84
3005,Young Sister-in-Law 5,20-11-2019,Romance, Korean,359866643.6,53340523.8,South Korea,66
3006,Chained Heat,27-05-1983,"Action, Crime, Drama, Thriller", English,6149983,1250000,United States,52
3007,Female Urologists 3,03-12-2020,"Drama, Romance", Korean,329856760.8,47310000,South Korea,35
3008,Dr. No,06-05-1963,"Adventure, Action, Thriller", English,59567035,1000000,Australia,70
3009,The Underground Banker,22-01-1994,Drama, Cantonese,454488625.8,142000000,Hong Kong,55
3010,Tad the Lost Explorer and the Secret of King Midas,25-08-2017,"Animation, Adventure, Comedy, Family"," Spanish, Castilian",34156960,10778400,Spain,66
3011,National Lampoon's Vacation,20-10-1983,"Comedy, Adventure", English,61399552,15000000,Australia,71
3012,Female Hostel 2,22-03-2018,"Romance, Drama", Korean,49459605.2,88000040,South Korea,15
3013,Inkheart,02-04-2009,"Adventure, Family, Fantasy", English,66655938,60000000,Australia,63
3014,Re:ZERO -Starting Life in Another World- The Frozen Bond,08-11-2019,"Animation, Drama, Thriller, Fantasy", Japanese,614587961.8,168400000,Japan,77
3015,Transformers: Revenge of the Fallen,24-06-2009,"Science Fiction, Action, Adventure", English,836519699,210000000,Australia,62
3016,Swingers Party with My Friend,10-11-2019,Romance, Korean,292263719.2,85100000,South Korea,58
3017,The Last Exorcism Part II,01-03-2013,"Horror, Thriller", English,25448707,4000000,United States,47
3018,Guy Ritchie's The Covenant,21-04-2023,"Action, Drama, War", English,1240261.6,55000000,United States,0
3019,The Cursed,18-02-2022,"Horror, Fantasy, Mystery", English,4588389,2489917,United States,69
3020,Step-Brother 2,06-11-2018,Romance, Korean,176682291.4,80300000,South Korea,56
3021,Shot Caller,30-11-2017,"Crime, Drama, Thriller", English,412839541,93200000,Australia,69
3022,The Dreamers,01-09-2003,"Drama, Romance", English,15121165,15000000,United States,72
3023,Cherry,12-03-2021,"Drama, Crime", English,0,40000000,Australia,74
3024,Cheaper by the Dozen,18-03-2022,"Family, Comedy", English,190212113,40000000,Australia,65
3025,Source Code,05-05-2011,"Thriller, Science Fiction, Mystery", English,140428499,32000000,Australia,73
3026,The Mist,21-11-2007,"Horror, Science Fiction, Thriller", English,57189408,13000000,United States,69
3027,Friday the 13th Part VI: Jason Lives,01-08-1986,"Horror, Mystery, Thriller", English,19472523,3000000,United States,62
3028,Jokyoshi Nikki 2 Abakareta Sei,13-06-1996,, Japanese,175269998.8,167540000,Japan,0
3029,A Christmas Carol,05-11-2009,"Animation, Family, Drama, Fantasy", English,325286646,200000000,Australia,69
3030,High School Musical 2,17-08-2007,"Comedy, Drama, Family, Music, Romance, TV Movie", English,0,7000000,United States,65
3031,Air,28-10-2015,"Science Fiction, Thriller", English,901958484.2,103600000,Australia,49
3032,Batman Beyond: Return of the Joker,12-12-2000,"Animation, Family, Action, Science Fiction", English,402252426.2,84000000,United States,73
3033,Get Smart With Money,06-09-2022,Documentary, English,447551505.2,107200000,United States,62
3034,Deep Impact,18-06-1998,"Action, Drama, Science Fiction", English,349464664,80000000,Australia,62
3035,Mother's Job,27-07-2017,"Romance, Drama", Korean,349308045.2,51570000,South Korea,38
3036,Operation Red Sea,23-02-2018,"Action, Thriller, War, Drama", Chinese,579220560,70000000,Australia,71
3037,The Noel Diary,24-11-2022,"Romance, Comedy, Drama", English,336952152,107000000,United States,64
3038,Fucking Different XXX,08-02-2012,Drama, English,472749495.2,81200000,Germany,72
3039,The Babysitters,09-05-2008,Drama, English,44852,5838800,United States,59
3040,Kimetsu Orchestra Concert,25-08-2021,Music, Japanese,678909900.8,180000000,Japan,81
3041,Bao,15-06-2018,"Animation, Family, Fantasy", English,681749088.4,121000000,United States,76
3042,Blackhat,13-05-2015,"Crime, Thriller, Action", English,19665004,70000000,Australia,55
3043,365 Days,09-06-2020,"Romance, Drama", Polish,9458590,25874800,Australia,71
3044,Avengers Grimm,17-03-2015,"Action, Fantasy", English,836011985.4,117000000,United States,40
3045,Lethal Weapon,28-05-1987,"Adventure, Action, Comedy, Thriller, Crime", English,120192350,15000000,Australia,73
3046,One Piece: Clockwork Island Adventure,03-03-2001,"Action, Animation, Adventure", Japanese,707467159.8,94040000,Japan,70
3047,They/Them,24-07-2022,"Horror, Thriller", English,424996766.4,144000000,United States,51
3048,Hellraiser,22-10-1987,"Horror, Thriller", English,14575148,1000000,Australia,69
3049,School of Rock,06-02-2004,"Comedy, Music, Family", English,131944672,20000000,Australia,71
3050,Turbo: A Power Rangers Movie,27-03-1997,"Action, Adventure, Family, Fantasy, Science Fiction", English,9679739,10000000,United States,58
3051,Gone in Sixty Seconds,06-08-2000,"Action, Crime, Thriller", English,237202299,90000000,Australia,64
3052,The Empire of Corpses,02-10-2015,"Animation, Mystery, Horror, Science Fiction", Japanese,635654492.2,76600000,Japan,60
3053,Unhinged,30-07-2020,"Action, Thriller", English,37339104,33000000,Australia,64
3054,Batman Forever,29-06-1995,"Action, Crime, Fantasy", English,336529144,100000000,Australia,54
3055,Woman with Pierced Nipples,15-04-1983,Drama, Japanese,423147746.8,97300000,Japan,44
3056,Home Alone 4,03-11-2002,"Comedy, Family, TV Movie", English,626174185.2,134300000,United States,45
3057,Brokeback Mountain,26-01-2006,"Drama, Romance", English,176980863,13900000,Australia,78
3058,Get the Gringo,24-05-2012,"Action, Thriller, Crime, Drama", English,260397333.2,35000000,Australia,65
3059,Big Stan,06-06-2007,Comedy, English,246367071,100000000,United States,65
3060,Pitch Perfect 2,07-05-2015,"Comedy, Music", English,287215196,29000000,Australia,69
3061,The Day of Swapping,10-07-2017,Romance, Korean,772371713,107800000,South Korea,49
3062,Leprechaun: Back 2 tha Hood,30-12-2003,"Horror, Comedy", English,484249645.6,131400000,United States,52
3063,Curse of the Blair Witch,11-07-1999,"Horror, Thriller", English,403958617,62600000,United States,61
3064,Paddington,24-11-2014,"Comedy, Adventure, Family", English,252410984,55000000,Australia,71
3065,Secretary,20-09-2002,"Comedy, Drama, Romance", English,9412015,4000000,United States,68
3066,Collateral,14-10-2004,"Drama, Crime, Thriller", English,217602967,60000000,Australia,72
3067,The Portable Door,23-03-2023,"Fantasy, Adventure, Comedy", English,553917974.8,132400000,Australia,63
3068,Sputnik,23-04-2020,"Science Fiction, Drama, Horror", Russian,354023,48780000,Russia,65
3069,Remember Me,12-03-2010,"Drama, Romance", English,56506120,16000000,United States,71
3070,Hidden Desire,15-11-1991,"Romance, Drama", Cantonese,836011985.4,112800000,Hong Kong,40
3071,Killing Me Softly,21-06-2002,Thriller, English,7775138,25000000,United Kingdom,55
3072,Skyscraper,12-07-2018,"Action, Thriller", English,304858121,125000000,Australia,63
3073,The Protector 2,23-10-2013,Action, Thai,3302463,6901932.4,Thailand,60
3074,Creed,01-01-2010,Horror, English,173567581,37000000,United States,80
3075,Indecent Woman,18-09-1999,"Thriller, Crime", Cantonese,862567677.4,88300000,Hong Kong,45
3076,The Bodyguard,14-01-1993,"Thriller, Action, Drama, Music, Romance", English,411006740,25000000,Australia,67
